Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,2020-01-01,48.0,90.75,5.16,-,0
Dayeuhkolot,2020-01-02,0.0,70.82,4.52,-,0
Dayeuhkolot,2020-01-03,-,60.22,4.13,-,0
Dayeuhkolot,2020-01-04,0.0,55.49,3.94,-,0
Dayeuhkolot,2020-01-05,0.0,53.03,3.84,-,0
Dayeuhkolot,2020-01-06,-,51.92,3.8,-,0
Dayeuhkolot,2020-01-07,5.0,52.5,3.82,-,0
Dayeuhkolot,2020-01-08,0.0,54.67,3.91,-,0
Dayeuhkolot,2020-01-09,10.0,63.35,4.25,-,0
Dayeuhkolot,2020-01-10,4.5,59.76,4.11,-,0
Dayeuhkolot,2020-01-11,5.5,66.33,4.36,-,0
Dayeuhkolot,2020-01-12,4.0,62.16,4.2,-,0
Dayeuhkolot,2020-01-13,-,55.77,3.95,-,0
Dayeuhkolot,2020-01-14,-,51.25,3.76,-,0
Dayeuhkolot,2020-01-15,-,49.91,3.7,-,0
Dayeuhkolot,2020-01-16,-,48.59,3.64,-,0
Dayeuhkolot,2020-01-17,68.0,50.26,3.71,-,0
Dayeuhkolot,2020-01-18,3.0,66.93,4.37,-,0
Baleendah,2020-01-19,1.0,93.17,5.24,0.1,1
Dayeuhkolot,2020-01-19,1.0,93.17,5.24,0.1,1
Dayeuhkolot,2020-01-20,-,101.88,5.49,-,0
Bojongsoang,2020-01-21,-,387.76,4.11,-,0
Dayeuhkolot,2020-01-21,-,100.01,5.43,-,0
Bojongsoang,2020-01-22,20.5,362.29,4,-,0
Dayeuhkolot,2020-01-22,-,88.99,5.08,-,0
Dayeuhkolot,2020-01-23,52.5,110.27,5.74,0.6,1
Bojongsoang,2020-01-24,24,560.17,4.75,-,0
Dayeuhkolot,2020-01-24,52.0,140.18,6.49,-,0
Bojongsoang,2020-01-25,39,516.6,4.59,-,0
Dayeuhkolot,2020-01-25,24.0,160.29,6.94,-,0
Bojongsoang,2020-01-26,23,524.67,4.63,-,0
Dayeuhkolot,2020-01-26,-,169.74,07.09,-,0
Bojongsoang,2020-01-27,3,562.04,4.74,-,0
Dayeuhkolot,2020-01-27,-,119.6,5.94,-,0
Bojongsoang,2020-01-28,32,394.98,4.12,-,0
Dayeuhkolot,2020-01-28,3.0,135.74,6.43,-,0
Bojongsoang,2020-01-29,17,311.89,3.76,-,0
Dayeuhkolot,2020-01-29,29.0,103.51,5.62,-,0
Bojongsoang,2020-01-30,-,227.79,3.3,-,0
Dayeuhkolot,2020-01-30,17.5,88.61,5.21,-,0
Bojongsoang,2020-01-31,-,173.86,2.97,-,0
Dayeuhkolot,2020-01-31,-,81.77,4.98,-,0
Bojongsoang,2020-02-01,-,154.71,2.83,-,0
Dayeuhkolot,2020-02-01,-,62.32,4.35,-,0
Bojongsoang,2020-02-02,-,149.39,2.8,-,0
Dayeuhkolot,2020-02-02,-,61.3,4.33,-,0
Cicalengka,2020-02-03,-,5.31,1.67,0.1,1
Dayeuhkolot,2020-02-03,-,56.26,4.14,0.1,1
Cipanas - Margamukti,2020-02-04,43,"33,29","1,3",-,0
Dayeuhkolot,2020-02-04,0.0,70.31,4.7,-,0
Dayeuhkolot,2020-02-05,49.0,91.39,5.39,-,0
Cipanas - Margamukti,2020-02-06,13,13,1,-,0
Dayeuhkolot,2020-02-06,33.0,103.92,5.75,-,0
Dayeuhkolot,2020-02-07,18.0,114.68,6.08,0.8,1
Cipanas - Margamukti,2020-02-08,2,"1,52","0,49",-,0
Dayeuhkolot,2020-02-08,-,105.74,5.81,-,0
Cipanas - Margamukti,2020-02-09,20,"25,03","1,26",-,0
Dayeuhkolot,2020-02-09,-,93.99,5.53,-,0
Cipanas - Margamukti,2020-02-10,8,"5,5","0,69",-,0
Dayeuhkolot,2020-02-10,-,95.04,5.56,-,0
Cipanas - Margamukti,2020-02-11,2,"0,73","0,34",-,0
Dayeuhkolot,2020-02-11,3.5,86.61,5.32,-,0
Cipanas - Margamukti,2020-02-12,2,"1,09","0,4",-,0
Dayeuhkolot,2020-02-12,-,69.86,4.76,-,0
Cipanas - Margamukti,2020-02-13,-,1,"0,4",-,0
Dayeuhkolot,2020-02-13,5.5,73.93,4.92,-,0
Cipanas - Margamukti,2020-02-14,6,"0,99","0,4",-,0
Dayeuhkolot,2020-02-14,7.0,78.73,5.13,-,0
Dayeuhkolot,2020-02-15,2.0,80.85,5.2,0.5,1
Ciluluk,2020-02-16,18.5,6.73,1.79,-,0
Dayeuhkolot,2020-02-16,33.5,119.28,6.32,-,0
Ciluluk,2020-02-17,22,6.84,1.8,-,0
Dayeuhkolot,2020-02-17,12.0,123.71,6.43,-,0
Ciluluk,2020-02-18,17,6.95,1.81,-,0
Dayeuhkolot,2020-02-18,48.0,119.76,6.35,-,0
Ciluluk,2020-02-19,9,07.05,1.82,-,0
Dayeuhkolot,2020-02-19,11.0,118.85,6.34,-,0
Ciluluk,2020-02-20,0,7.16,1.83,-,0
Dayeuhkolot,2020-02-20,1.0,89.19,5.5,-,0
Ciluluk,2020-02-21,-,7.26,1.84,-,0
Dayeuhkolot,2020-02-21,1.5,76.47,5.13,-,0
Ciluluk,2020-02-22,2,7.37,1.85,-,0
Dayeuhkolot,2020-02-22,0.0,75.58,5.12,-,0
Ciluluk,2020-02-23,-,7.47,1.85,-,0
Dayeuhkolot,2020-02-23,-,62.32,4.64,-,0
Ciluluk,2020-02-24,-7,7.58,1.86,-,0
Dayeuhkolot,2020-02-24,0.0,60.38,4.61,-,0
Ciluluk,2020-02-25,8,7.68,1.87,-,0
Dayeuhkolot,2020-02-25,3.0,76.19,5.2,-,0
Ciluluk,2020-02-26,6.5,7.84,1.88,-,0
Dayeuhkolot,2020-02-26,-,61.84,4.68,-,0
Dayeuhkolot,2020-02-27,3.0,65.38,4.84,-,0
Dayeuhkolot,2020-02-28,7.5,77.52,5.28,-,0
Cisondari-Pasir Jambu,2020-02-29,36,"4,97","0,81",-,0
Dayeuhkolot,2020-02-29,7.5,86.89,5.6,-,0
Cisondari-Pasir Jambu,2020-03-01,"11,5","30,87","0,39",-,0
Dayeuhkolot,2020-03-01,1.5,88.02,5.64,-,0
Cisondari-Pasir Jambu,2020-03-02,"7,5","28,62","0,4",-,0
Dayeuhkolot,2020-03-02,0.0,81.72,5.44,-,0
Cisondari-Pasir Jambu,2020-03-03,-,"15,81","0,66",-,0
Dayeuhkolot,2020-03-03,-,73.35,5.19,-,0
Dayeuhkolot,2020-03-04,-,78.73,5.39,-,0
Cisondari-Pasir Jambu,2020-03-05,"80,5","12,21","0,49",-,0
Dayeuhkolot,2020-03-05,17.5,80.03,5.43,-,0
Cisondari-Pasir Jambu,2020-03-06,"1,5","10,41","0,57",-,0
Dayeuhkolot,2020-03-06,0.0,72.34,5.2,-,0
Cisondari-Pasir Jambu,2020-03-07,"9,5","12,59","0,59",-,0
Dayeuhkolot,2020-03-07,9.0,73.69,5.26,-,0
Cisondari-Pasir Jambu,2020-03-08,-,"15,01","0,33",-,0
Dayeuhkolot,2020-03-08,-,66.25,5.01,-,0
Cisondari-Pasir Jambu,2020-03-09,2,"12,02","0,35",-,0
Dayeuhkolot,2020-03-09,0.0,61.08,4.82,-,0
Cisondari-Pasir Jambu,2020-03-10,-,"10,29","0,52",-,0
Dayeuhkolot,2020-03-10,-,57.37,4.69,-,0
Cisondari-Pasir Jambu,2020-03-11,0,"9,43","0,66",-,0
Dayeuhkolot,2020-03-11,-,54.65,4.59,-,0
Cisondari-Pasir Jambu,2020-03-12,"2,5","11,32","0,78",-,0
Dayeuhkolot,2020-03-12,-,52.24,4.5,-,0
Cisondari-Pasir Jambu,2020-03-13,"10,5","13,5","0,4",-,0
Dayeuhkolot,2020-03-13,0.0,52.94,4.55,-,0
Cisondari-Pasir Jambu,2020-03-14,-,"11,09","0,44",-,0
Dayeuhkolot,2020-03-14,-,55.61,4.67,-,0
Cisondari-Pasir Jambu,2020-03-15,17,"10,69","0,73",-,0
Dayeuhkolot,2020-03-15,26.0,68.63,5.19,-,0
Dayeuhkolot,2020-03-16,8.0,89.66,5.91,0.4,1
Dayeuhkolot,2020-03-17,27.0,69.52,5.22,-,0
Dayeuhkolot,2020-03-18,-,56.54,4.77,-,0
Dayeuhkolot,2020-03-19,18.0,60.78,4.95,0.4,1
Dayeuhkolot,2020-03-20,85.0,76.77,5.54,-,0
Dayeuhkolot,2020-03-21,-,130.28,7.06,-,0
Dayeuhkolot,2020-03-22,0.0,72.77,5.41,-,0
Dayeuhkolot,2020-03-23,-,60.35,4.99,-,0
Dayeuhkolot,2020-03-24,4.0,57.33,4.88,-,0
Dayeuhkolot,2020-03-25,1.0,55.76,4.84,-,0
Dayeuhkolot,2020-03-26,-,60.01,5.02,-,0
Dayeuhkolot,2020-03-27,8.0,82.22,5.81,-,0
Dayeuhkolot,2020-03-28,4.5,73.2,5.5,-,0
Dayeuhkolot,2020-03-29,4.5,65.85,5.29,-,0
Banjaran,2020-03-30,23.0,95.8,6.29,0.1,1
Dayeuhkolot,2020-03-30,23.0,95.8,6.29,0.1,1
Bojongsoang,2020-03-31,14,537.25,4.67,-,0
Dayeuhkolot,2020-03-31,-,148.54,7.64,-,0
Bojongsoang,2020-04-01,-,617.1,4.94,0.5,1
Dayeuhkolot,2020-04-01,-,149.24,7.64,0.5,1
Bojongsoang,2020-04-02,-,567.35,4.76,-,0
Dayeuhkolot,2020-04-02,-,121.48,6.99,-,0
