Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,2020-11-01,10.5,23.82,4.62,-,0
Dayeuhkolot,2020-11-02,1.0,19.51,4.27,-,0
Dayeuhkolot,2020-11-03,-,14.61,3.85,-,0
Dayeuhkolot,2020-11-04,-,12.57,3.64,-,0
Dayeuhkolot,2020-11-05,0.0,10.79,3.45,-,0
Dayeuhkolot,2020-11-06,0.0,10.89,3.47,-,0
Dayeuhkolot,2020-11-07,-,9.79,3.33,-,0
Dayeuhkolot,2020-11-08,0.0,9.32,3.28,-,0
Dayeuhkolot,2020-11-09,-,9.5,3.3,-,0
Dayeuhkolot,2020-11-10,-,9.18,3.26,-,0
Dayeuhkolot,2020-11-11,13.0,9.39,3.29,-,0
Dayeuhkolot,2020-11-12,5.0,9.3,3.25,-,0
Dayeuhkolot,2020-11-13,-,8.68,3.2,-,0
Dayeuhkolot,2020-11-14,-,8.89,3.23,-,0
Dayeuhkolot,2020-11-15,30.5,10.81,3.47,-,0
Dayeuhkolot,2020-11-16,-,8.97,3.23,-,0
Dayeuhkolot,2020-11-17,-,8.91,3.23,-,0
Dayeuhkolot,2020-11-18,-,8.11,3.11,-,0
Dayeuhkolot,2020-11-19,0.0,8.39,3.16,-,0
Dayeuhkolot,2020-11-20,-,8.76,3.2,-,0
Dayeuhkolot,2020-11-21,10.5,16.14,4.03,-,0
Dayeuhkolot,2020-11-22,24.5,14.3,3.83,-,0
Dayeuhkolot,2020-11-23,24.0,15.78,3.95,-,0
Dayeuhkolot,2020-11-24,4.0,24.13,4.66,-,0
Dayeuhkolot,2020-11-25,27.5,26.65,4.79,0.3,1
Bojongsoang,2020-11-26,4.5,69.47,02.02,-,0
Dayeuhkolot,2020-11-26,37.0,18.34,4.15,-,0
Bojongsoang,2020-11-27,1.5,55.58,1.83,-,0
Dayeuhkolot,2020-11-27,-,13.17,3.72,-,0
Bojongsoang,2020-11-28,-,85.58,2.22,-,0
Dayeuhkolot,2020-11-28,6.5,19.4,4.28,-,0
Bojongsoang,2020-11-29,0,73.05,02.06,-,0
Dayeuhkolot,2020-11-29,0.5,18.86,4.24,-,0
